state,stateLabel,person,personLabel
Q1159,Andhra Pradesh,Q3531971,Y. S. Jagan Mohan Reddy
Q1162,Arunachal Pradesh,Q7161834,Pema Khandu
Q1164,Assam,Q5765114,Himanta Biswa Sarma
Q1165,Bihar,Q122304,Nitish Kumar
Q1168,Chhattisgarh,Q4902181,Bhupesh Baghel
Q1353,Delhi,Q59155,Arvind Kejriwal
Q1171,Goa,Q28222879,Pramod Sawant
Q1061,Gujarat,Q48732972,Bhupendrabhai Patel
Q1174,Haryana,Q18336221,Manohar Lal Khattar
Q1177,Himachal Pradesh,Q6123452,Jai Ram Thakur
Q66278313,Jammu and Kashmir,,""
Q1184,Jharkhand,Q13619621,Hemant Soren
Q1185,Karnataka,Q4866288,Basavaraj Bommai
Q1186,Kerala,Q3595385,Pinarayi Vijayan
Q1188,Madhya Pradesh,Q3180602,Shivraj Singh Chouhan
Q1191,Maharashtra,Q3634346,Uddhav Thackeray
Q1193,Manipur,Q7049407,Nongthombam Biren Singh
Q1195,Meghalaya,Q5162596,Conrad Sangma
Q1502,Mizoram,Q1362153,Zoramthanga
Q1599,Nagaland,Q3530214,Neiphiu Rio
Q22048,Odisha,Q1190856,Naveen Patnaik
Q66743,Puducherry,Q599267,Nadesan Rangaswamy
Q22424,Punjab,Q4900687,Bhagwant Mann
Q1437,Rajasthan,Q3345004,Ashok Gehlot
Q1505,Sikkim,Q23879743,Prem Singh Tamang
Q1445,Tamil Nadu,Q983475,M. K. Stalin
Q677037,Telangana,Q33168,Kalvakuntla Chandrasekhar Rao
Q1363,Tripura,Q111341502,Manik Saha
Q1498,Uttar Pradesh,Q4683097,Yogi Adityanath
Q1499,Uttarakhand,Q28370220,Pushkar Singh Dhami
Q1356,West Bengal,Q465041,Mamata Banerjee
