@@,name,position
->,Nirmala Sitaraman->Nirmala Sitharaman,Minister of Finance
->,Narendra Singh Tomar,Minister of Agriculture->Minister of Agriculture & Farmers Welfare
---,Rajnath Singh,Minister of Defence of India
---,Prakash Javadekar,Minister of Human Resource Development
---,Nitin Gadkari,Minister of Shipping (India)
---,Narendra Modi,Prime minister of India
---,Muppavarapu Venkaiah Naidu,Minister of Housing and Urban Poverty Alleviation
---,Kishore Chandra Deo,Minister of Tribal Affairs
---,Jual Oram,Minister of Tribal Affairs
---,G. K. Vasan,Minister of Agriculture
---,Amit Shah,Minister of Co-operation
+++,Virendra Kumar,Minister of Social Justice and Empowerment
+++,Smriti Zubin Irani,Minister of Women and Child Development
+++,Sarbananda Sonowal,"Minister of Ports, Shipping and Waterways"
+++,Sarbananda Sonowal,"Minister of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)"
+++,Ramchandra Prasad Singh,Minister of Steel
+++,Raj Nath Singh,Minister of Defence
+++,Raj Kumar Singh,Minister of New and Renewable Energy
+++,Raj Kumar Singh,Minister of Power
+++,Pralhad Joshi,Minister of Mines
+++,Pralhad Joshi,Minister of Parliamentary Affairs
+++,Pralhad Joshi,Minister of Coal
+++,Pashu Pati Kumar Paras,Minister of Food Processing Industries
+++,Parshottam Rupala,"Minister of Fisheries, Animal Husbandry and Dairying"
+++,Nitin Jairam Gadkari,Minister of Road Transport and Highways
+++,Nirmala Sitharaman,Minister of Corporate Affairs
+++,Narendra Modi,Department of Atomic Energy
+++,Narendra Modi,"Minister of Personnel, Public Grievances and Pensions"
+++,Narendra Modi,Department of Space
+++,Narayan Tatu Rane,"Minister of Micro, Small and Medium Enterprises"
+++,Mukhtar Abbas Naqvi,Minister of Minority Affairs
+++,Mansukh L. Mandaviya,Minister of Health and Family Welfare
+++,Mansukh L. Mandaviya,Minister of Chemicals and Fertilizers
+++,Mahendra Nath Pandey,Minister of Heavy Industries
+++,Kiren Rijiju,Minister of Law and Justice
+++,Jyotiraditya M. Scindia,Minister of Civil Aviation
+++,Hardeep Singh Puri,Minister of Petroleum and Natural Gas
+++,Hardeep Singh Puri,Minister of Housing and Urban Affairs
+++,Giriraj Singh,Minister of Rural Development
+++,Giriraj Singh,Minister of Panchayati Raj
+++,Gajendra Singh Shekhawat,Minister of Jal Shakti
+++,G. Kishan Reddy,Minister of Culture
+++,G. Kishan Reddy,Minister of Development of North Eastern Region
+++,G. Kishan Reddy,Minister of Tourism
+++,Dharmendra Pradhan,Minister of Skill Development and Entrepreneurship
+++,Dharmendra Pradhan,Minister of Education
+++,Bhupender Yadav,"Minister of Environment, Forest and Climate Change"
+++,Bhupender Yadav,Minister of Labour and Employment
+++,Ashwini Vaishnaw,Minister of Communications
+++,Ashwini Vaishnaw,Minister of Electronics and Information Technology
+++,Ashwini Vaishnaw,Minister of Railways
+++,Arjun Munda,Minister of Tribal Affairs
+++,Anurag Singh Thakur,Minister of Information and Broadcasting
+++,Anurag Singh Thakur,Minister of Youth Affairs and Sports
+++,Amit Shah,Minister of Cooperation
