pageid,title
444222,Narendra Modi
450153,Venkaiah Naidu
731496,Smriti Irani
1011075,M. K. Stalin
1598220,Arjun Munda
1972559,Narayan Rane
2076245,Naveen Patnaik
2076376,Neiphiu Rio
2078607,N. Rangaswamy
2321663,Mamata Banerjee
3223157,Nitish Kumar
3283685,Shivraj Singh Chouhan
3498083,Bhagwant Mann
3616256,Bandaru Dattatreya
4237840,Kiren Rijiju
4509599,Ashok Gehlot
5284117,Pinarayi Vijayan
5306068,Mukhtar Abbas Naqvi
5309870,Arif Mohammad Khan
6208502,Arvind Kejriwal
6270683,Kalraj Mishra
6365272,Ramesh Bais
6402853,Thawar Chand Gehlot
6699870,La. Ganesan
7105870,Yogi Adityanath
7119332,Dharmendra Pradhan
7119520,Virendra Kumar Khatik
7120152,Jyotiraditya Scindia
7123708,Pralhad Joshi
7149468,Sarbananda Sonowal
8232439,Bhagat Singh Koshyari
8610251,Rajnath Singh
10472628,Manoj Sinha
10917424,Bhupesh Baghel
11907773,Nitin Gadkari
12397646,Anusuiya Uikey
16778897,N. Biren Singh
18063617,Anurag Thakur
18168003,Jagdish Mukhi
18399792,Parshottam Rupala
19167263,Shamma Jain
20490327,Y. S. Jagan Mohan Reddy
21920162,K. Chandrashekar Rao
25802172,Banwarilal Purohit
25825629,G. Kishan Reddy
27057020,P. S. Sreedharan Pillai
27927153,Om Birla
28165549,Amit Shah
28469764,Conrad Sangma
28880170,Anandiben Patel
28913694,Piyush Goyal
28918781,Hemant Soren
28921754,Jai Ram Thakur
29288880,Nirmala Sitharaman
30594202,Narendra Singh Tomar
30909065,Hardeep Singh Puri
33436001,Pema Khandu
35654283,Basavaraj Bommai
36078654,Praful Khoda Patel
36331800,Satya Pal Malik
36872894,Himanta Biswa Sarma
36937854,Devendra Kumar Joshi
39691546,Giriraj Singh
40287965,Urjit Patel
40435868,S. Jaishankar
40868955,Bhupender Yadav
41399823,R. K. Singh
41584630,N. V. Ramana
41604325,Rajendra Arlekar
42681679,Ram Nath Kovind
42781059,Kambhampati Hari Babu
42782263,Mahendra Nath Pandey
42790291,Gajendra Singh Shekhawat
42925810,Zoramthanga
42940621,Tamilisai Soundararajan
43528472,Mangubhai C. Patel
43908169,Ramchandra Prasad Singh
44154526,Manohar Lal Khattar
44377893,Eknath Shinde
44777947,Sunil Lanba
46833780,Pradeep Kumar Sinha
47021168,Satyadev Narayan Arya
47475767,Acharya Devvrat
47951281,Mansukh Mandaviya
48828467,Gautam Shah
49403103,Bonthu Rammohan
49669793,Prem Singh Tamang
52845240,Pramod Sawant
52848891,Pashupati Kumar Paras
53014071,Sarath Chand
53408290,R. K. Mathur
54206832,Phagu Chauhan
55125360,Pramod Kumar Mishra
55392792,Ganga Prasad
55392810,B. D. Mishra
56209854,Bhupendrabhai Patel
56817388,Jagdeep Dhankhar
57511869,Ganeshi Lal
58928064,Anup Chandra Pandey
61165139,Ashwini Vaishnaw
61295734,Biswabhusan Harichandan
61712869,R. N. Ravi
61839117,Mridula Jaiswal
62535266,Taranjit Singh Sandhu
62535811,Vinay Mohan Kwatra
63002029,Ajay Kumar Bhalla
63897691,Kumar Tuhin
64130555,Manoj Pande (general)
64687699,Vivek Ram Chaudhari
65560345,Sandeep Singh (air marshal)
65802363,Gaitri Issar Kumar
66196968,Arya Rajendran
67379063,Sushil Chandra
68685540,Gurmit Singh (general)
70375235,Manik Saha
70778409,Tapan Deka
70854588,Vinai Kumar Saxena
